age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary,CLIENT_ID
24, Private,349691, Some-college,10.0, Never-married, Sales, Other-relative, Black, Female,0,0,40, United-States,0,1885
62, Private,211035, Bachelors,13.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,30, United-States,1,28915
47, Local-gov,543162, HS-grad,9.0, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States,0,13651
30, Private,76107, HS-grad,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0,0,45, United-States,1,28045
54, Local-gov,182388, HS-grad,9.0, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, United-States,0,20054
46, Self-emp-not-inc,353012, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,50, United-States,1,13318
21, Private,186849, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,0,15253
49, Federal-gov,216453, Assoc-voc,11.0, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,45, United-States,0,19065
22, Private,245524, 12th,8.0, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States,0,4594
27, Private,251905, Assoc-voc,11.0, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States,0,9581
45, Private,223999, 9th,5.0, Married-civ-spouse, Other-service, Husband, White, Male,0,1848,40, United-States,1,6477
19, ?,180976, 10th,6.0, Never-married, ?, Unmarried, White, Female,0,0,35, United-States,0,16720
43, Self-emp-not-inc,349341, Bachelors,13.0, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States,0,6713
29, Private,363425, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,0,5001
35, Private,172845, Assoc-voc,11.0, Never-married, Other-service, Unmarried, White, Female,0,0,30, United-States,0,17018
52, State-gov,101119, 11th,7.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,0,30839
38, Private,85244, Bachelors,13.0, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0,12133
23, Private,110677, Some-college,10.0, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States,0,17524
30, Private,195488, HS-grad,9.0, Never-married, Priv-house-serv, Own-child, White, Female,0,0,40, Guatemala,0,6031
34, Local-gov,284843, HS-grad,9.0, Never-married, Farming-fishing, Not-in-family, Black, Male,594,0,60, United-States,0,29656
44, Self-emp-not-inc,197558, Prof-school,15.0, Married-civ-spouse,, Husband, White, Male,0,0,70, United-States,1,560
26, Private,132661, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,5013,0,40, United-States,0,25597
51, Self-emp-inc,46281, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,1,2445
44, Private,44006, Assoc-voc,11.0, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States,0,2889
38, Private,193026, HS-grad,9.0, Never-married, Other-service, Unmarried, White, Male,0,1408,40, ?,0,31424
41, State-gov,33126, Bachelors,13.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,1,3208
28, Self-emp-not-inc,188278, Bachelors,13.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,55, United-States,0,2967
61, Private,238913, Assoc-voc,11.0, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1,10906
41, Private,217902, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1,13883
43, Private,187861, HS-grad,9.0, Separated, Transport-moving, Unmarried, White, Female,0,0,44, United-States,0,5068
22, Private,369387, 11th,7.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States,0,5264
27, Private,169631, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States,0,12618
25, Private,114150, HS-grad,9.0, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,40, United-States,0,32526
18, ?,267399, 12th,8.0, Never-married, ?, Own-child, White, Female,0,0,12, United-States,0,26692
43, Private,216685, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,35, United-States,0,20332
34, Self-emp-inc,114733, Assoc-acdm,12.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,36, United-States,0,4161
64, Self-emp-not-inc,167149, 7th-8th,4.0, Married-civ-spouse, Other-service, Husband, White, Male,0,0,25, United-States,0,7745
42, Private,230684, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,5178,0,50, United-States,1,9622
50, Private,189183, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,0,28481
67, ?,81761, HS-grad,9.0, Divorced, ?, Own-child, White, Male,0,0,20, United-States,0,8209
50, Private,166565, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States,0,24628
28, Self-emp-inc,113870, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,1,22572
21, Private,180339, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States,0,21790
21, Private,275726, HS-grad,9.0, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States,0,24289
50, Self-emp-not-inc,219420, Doctorate,16.0, Divorced, Sales, Not-in-family, White, Male,0,0,64, United-States,0,29344
24, Private,293579, HS-grad,9.0, Never-married, Sales, Own-child, Black, Female,0,0,20, United-States,0,19977
36, Private,102729, Some-college,10.0, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0,28372
23, Private,233923, Some-college,10.0, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States,0,6593
34, Private,189809, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,52, Jamaica,0,26091
34, Self-emp-not-inc,100079, Bachelors,13.0, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,55, India,0,7137
53, Private,104501, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,55, United-States,1,15365
42, Local-gov,180985, 10th,6.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,99999,0,40, United-States,1,8184
54, Private,68684, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States,0,31765
20, Private,206681, 12th,8.0, Never-married, Sales, Not-in-family, White, Female,0,0,55, United-States,0,26886
41, Federal-gov,106982, Some-college,10.0, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States,1,18851
48, State-gov,148738, Some-college,10.0, Divorced, Other-service, Own-child, White, Male,0,0,40, United-States,0,18076
34, Private,34848, Some-college,10.0, Married-civ-spouse, Transport-moving, Husband, White, Male,4064,0,40, United-States,0,24794
48, Private,158924, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,1,22857
36, Self-emp-not-inc,64875, Assoc-voc,11.0, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States,0,3445
26, Private,159732, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,0,20300
27, Private,152683, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,3908,0,35, United-States,0,32099
26, Federal-gov,48099, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,0,17468
22, Private,238917, 1st-4th,2.0, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,24, Mexico,0,12835
61, Private,29059, HS-grad,9.0, Divorced, Sales, Unmarried, White, Female,0,2754,25, United-States,0,6012
28, Private,107389, HS-grad,9.0, Never-married, Exec-managerial, Own-child, White, Male,0,0,32, United-States,0,13326
26, ?,264300, Some-college,10.0, Married-civ-spouse, ?, Wife, White, Female,0,0,20, United-States,0,32173
28, Local-gov,211920, HS-grad,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,0,2557
33, Self-emp-inc,144949, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States,0,28748
20, ?,34321, Some-college,10.0, Never-married, ?, Own-child, White, Female,0,0,30, United-States,0,12020
29, Private,153805, HS-grad,9.0, Never-married, Machine-op-inspct, Other-relative, Other, Male,0,0,40, Ecuador,0,5588
66, Self-emp-not-inc,28061, 7th-8th,4.0, Widowed, Farming-fishing, Unmarried, White, Male,0,0,50, United-States,0,7832
35, Private,343403, Doctorate,16.0, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,20, ?,0,17864
23, Private,183358, HS-grad,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Puerto-Rico,0,22368
29, Private,131088, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0,1625
39, Private,172855, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States,0,16324
